ResultIndex,RaceIndex,PerfectFinish,RaceNumberGroup,DriversInRace,Race_AverageAge,DriverAgeGroup,GridPositionGroup,CircuitRegion,RaceHalfDecade,RaceMonthGroup,RaceTime
28,2008.2,1,1,Many,28,Average,Front,Asia,2005-2009,Spring,Early
29,2008.2,1,1,Many,28,Older,Front,Asia,2005-2009,Spring,Early
30,2008.2,1,1,Many,28,Average,Middle,Asia,2005-2009,Spring,Early
31,2008.2,1,1,Many,28,Older,Middle,Asia,2005-2009,Spring,Early
32,2008.2,1,1,Many,28,Average,Middle,Asia,2005-2009,Spring,Early
33,2008.2,1,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Early
34,2008.2,0,1,Many,28,Older,Back,Asia,2005-2009,Spring,Early
35,2008.2,0,1,Many,28,Older,Back,Asia,2005-2009,Spring,Early
36,2008.2,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Early
37,2008.2,0,1,Many,28,Average,Back,Asia,2005-2009,Spring,Early
38,2008.2,0,1,Many,28,Older,Back,Asia,2005-2009,Spring,Early
39,2008.2,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Early
40,2008.2,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Early
41,2008.2,0,1,Many,28,Average,Front,Asia,2005-2009,Spring,Early
42,2008.2,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Early
43,2008.2,0,1,Many,28,Average,Middle,Asia,2005-2009,Spring,Early
44,2008.2,0,1,Many,28,Average,Back,Asia,2005-2009,Spring,Early
45,2008.3,1,1,Many,28,Average,Front,Asia,2005-2009,Spring,Middle
46,2008.3,1,1,Many,28,Average,Front,Asia,2005-2009,Spring,Middle
47,2008.3,1,1,Many,28,Younger,Front,Asia,2005-2009,Spring,Middle
48,2008.3,1,1,Many,28,Average,Front,Asia,2005-2009,Spring,Middle
49,2008.3,1,1,Many,28,Average,Front,Asia,2005-2009,Spring,Middle
50,2008.3,1,1,Many,28,Older,Middle,Asia,2005-2009,Spring,Middle
51,2008.3,1,1,Many,28,Older,Middle,Asia,2005-2009,Spring,Middle
52,2008.3,1,1,Many,28,Younger,Middle,Asia,2005-2009,Spring,Middle
53,2008.3,1,1,Many,28,Average,Back,Asia,2005-2009,Spring,Middle
54,2008.3,1,1,Many,28,Average,Middle,Asia,2005-2009,Spring,Middle
55,2008.3,1,1,Many,28,Older,Middle,Asia,2005-2009,Spring,Middle
56,2008.3,0,1,Many,28,Older,Back,Asia,2005-2009,Spring,Middle
57,2008.3,0,1,Many,28,Younger,Front,Asia,2005-2009,Spring,Middle
58,2008.3,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Middle
59,2008.3,0,1,Many,28,Average,Back,Asia,2005-2009,Spring,Middle
60,2008.3,0,1,Many,28,Average,Back,Asia,2005-2009,Spring,Middle
61,2008.3,0,1,Many,28,Older,Back,Asia,2005-2009,Spring,Middle
62,2008.3,0,1,Many,28,Older,Back,Asia,2005-2009,Spring,Middle
63,2008.3,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Middle
64,2008.3,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Middle
65,2008.3,0,1,Many,28,Average,Middle,Asia,2005-2009,Spring,Middle
66,2008.3,0,1,Many,28,Younger,Back,Asia,2005-2009,Spring,Middle
67,2008.4,1,1,Many,28,Average,Front,Europe,2005-2009,Spring,Middle
68,2008.4,1,1,Many,28,Average,Front,Europe,2005-2009,Spring,Middle
69,2008.4,1,1,Many,28,Younger,Front,Europe,2005-2009,Spring,Middle
70,2008.4,1,1,Many,28,Younger,Front,Europe,2005-2009,Spring,Middle
71,2008.4,1,1,Many,28,Older,Middle,Europe,2005-2009,Spring,Middle
72,2008.4,1,1,Many,28,Average,Back,Europe,2005-2009,Spring,Middle
73,2008.4,1,1,Many,28,Younger,Middle,Europe,2005-2009,Spring,Middle
74,2008.4,1,1,Many,28,Older,Middle,Europe,2005-2009,Spring,Middle
75,2008.4,1,1,Many,28,Average,Middle,Europe,2005-2009,Spring,Middle
76,2008.4,0,1,Many,28,Older,Back,Europe,2005-2009,Spring,Middle
77,2008.4,0,1,Many,28,Average,Back,Europe,2005-2009,Spring,Middle
78,2008.4,0,1,Many,28,Older,Back,Europe,2005-2009,Spring,Middle
79,2008.4,0,1,Many,28,Older,Back,Europe,2005-2009,Spring,Middle
80,2008.4,0,1,Many,28,Younger,Back,Europe,2005-2009,Spring,Middle
81,2008.4,0,1,Many,28,Average,Front,Europe,2005-2009,Spring,Middle
82,2008.4,0,1,Many,28,Older,Middle,Europe,2005-2009,Spring,Middle
83,2008.4,0,1,Many,28,Average,Front,Europe,2005-2009,Spring,Middle
84,2008.4,0,1,Many,28,Average,Back,Europe,2005-2009,Spring,Middle
85,2008.4,0,1,Many,28,Average,Back,Europe,2005-2009,Spring,Middle
86,2008.4,0,1,Many,28,Younger,Middle,Europe,2005-2009,Spring,Middle
87,2008.4,0,1,Many,28,Younger,Back,Europe,2005-2009,Spring,Middle
88,2008.4,0,1,Many,28,Younger,Back,Europe,2005-2009,Spring,Middle
89,2008.5,1,1,Few,28,Average,Front,Europe,2005-2009,Spring,Middle
90,2008.5,1,1,Few,28,Younger,Front,Europe,2005-2009,Spring,Middle
91,2008.5,1,1,Few,28,Average,Front,Europe,2005-2009,Spring,Middle
92,2008.5,1,1,Few,28,Younger,Front,Europe,2005-2009,Spring,Middle
93,2008.5,1,1,Few,28,Older,Middle,Europe,2005-2009,Spring,Middle
94,2008.5,1,1,Few,28,Average,Middle,Europe,2005-2009,Spring,Middle
95,2008.5,1,1,Few,28,Older,Front,Europe,2005-2009,Spring,Middle
96,2008.5,1,1,Few,28,Younger,Middle,Europe,2005-2009,Spring,Middle
97,2008.5,1,1,Few,28,Older,Middle,Europe,2005-2009,Spring,Middle
98,2008.5,1,1,Few,28,Older,Middle,Europe,2005-2009,Spring,Middle
99,2008.5,0,1,Few,28,Average,Back,Europe,2005-2009,Spring,Middle
100,2008.5,0,1,Few,28,Average,Front,Europe,2005-2009,Spring,Middle
101,2008.5,0,1,Few,28,Average,Back,Europe,2005-2009,Spring,Middle
102,2008.5,0,1,Few,28,Older,Middle,Europe,2005-2009,Spring,Middle
103,2008.5,0,1,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
104,2008.5,0,1,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
105,2008.5,0,1,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
106,2008.5,0,1,Few,28,Average,Back,Europe,2005-2009,Spring,Middle
107,2008.5,0,1,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
108,2008.5,0,1,Few,28,Older,Back,Europe,2005-2009,Spring,Middle
109,2008.6,1,2,Few,28,Younger,Front,Europe,2005-2009,Spring,Middle
110,2008.6,1,2,Few,28,Younger,Front,Europe,2005-2009,Spring,Middle
111,2008.6,1,2,Few,28,Average,Front,Europe,2005-2009,Spring,Middle
112,2008.6,1,2,Few,28,Older,Middle,Europe,2005-2009,Spring,Middle
113,2008.6,1,2,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
114,2008.6,1,2,Few,28,Older,Back,Europe,2005-2009,Spring,Middle
115,2008.6,1,2,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
116,2008.6,1,2,Few,28,Average,Front,Europe,2005-2009,Spring,Middle
117,2008.6,1,2,Few,28,Average,Front,Europe,2005-2009,Spring,Middle
118,2008.6,0,2,Few,28,Average,Middle,Europe,2005-2009,Spring,Middle
119,2008.6,0,2,Few,28,Average,Middle,Europe,2005-2009,Spring,Middle
120,2008.6,0,2,Few,28,Average,Middle,Europe,2005-2009,Spring,Middle
121,2008.6,0,2,Few,28,Older,Middle,Europe,2005-2009,Spring,Middle
122,2008.6,0,2,Few,28,Older,Middle,Europe,2005-2009,Spring,Middle
123,2008.6,0,2,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
124,2008.6,0,2,Few,28,Younger,Front,Europe,2005-2009,Spring,Middle
125,2008.6,0,2,Few,28,Younger,Back,Europe,2005-2009,Spring,Middle
126,2008.6,0,2,Few,28,Older,Back,Europe,2005-2009,Spring,Middle
127,2008.6,0,2,Few,28,Older,Back,Europe,2005-2009,Spring,Middle
128,2008.6,0,2,Few,28,Average,Back,Europe,2005-2009,Spring,Middle
129,2008.7,1,2,Few,28,Younger,Front,Americas_Oceania,2005-2009,Summer,Late
130,2008.7,1,2,Few,28,Older,Middle,Americas_Oceania,2005-2009,Summer,Late
131,2008.7,1,2,Few,28,Older,Back,Americas_Oceania,2005-2009,Summer,Late
132,2008.7,1,2,Few,28,Average,Middle,Americas_Oceania,2005-2009,Summer,Late
133,2008.7,1,2,Few,28,Average,Front,Americas_Oceania,2005-2009,Summer,Late
134,2008.7,1,2,Few,28,Older,Back,Americas_Oceania,2005-2009,Summer,Late
135,2008.7,1,2,Few,28,Older,Middle,Americas_Oceania,2005-2009,Summer,Late
136,2008.7,1,2,Few,28,Younger,Back,Americas_Oceania,2005-2009,Summer,Late
137,2008.7,1,2,Few,28,Average,Middle,Americas_Oceania,2005-2009,Summer,Late
138,2008.7,1,2,Few,28,Younger,Front,Americas_Oceania,2005-2009,Summer,Late
139,2008.7,1,2,Few,28,Average,Back,Americas_Oceania,2005-2009,Summer,Late
140,2008.7,1,2,Few,28,Older,Middle,Americas_Oceania,2005-2009,Summer,Late
141,2008.7,0,2,Few,28,Average,Back,Americas_Oceania,2005-2009,Summer,Late
142,2008.7,0,2,Few,28,Older,Back,Americas_Oceania,2005-2009,Summer,Late
143,2008.7,0,2,Few,28,Younger,Middle,Americas_Oceania,2005-2009,Summer,Late
144,2008.7,0,2,Few,28,Average,Front,Americas_Oceania,2005-2009,Summer,Late
145,2008.7,0,2,Few,28,Younger,Back,Americas_Oceania,2005-2009,Summer,Late
146,2008.7,0,2,Few,28,Average,Front,Americas_Oceania,2005-2009,Summer,Late
147,2008.7,0,2,Few,28,Younger,Front,Americas_Oceania,2005-2009,Summer,Late
148,2008.7,0,2,Few,28,Younger,Back,Americas_Oceania,2005-2009,Summer,Late
149,2008.8,1,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
150,2008.8,1,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
151,2008.8,1,2,Few,28,Older,Front,Europe,2005-2009,Summer,Middle
152,2008.8,1,2,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
153,2008.8,1,2,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
154,2008.8,1,2,Few,28,Older,Front,Europe,2005-2009,Summer,Middle
155,2008.8,1,2,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
156,2008.8,1,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
157,2008.8,1,2,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
158,2008.8,1,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
159,2008.8,1,2,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
160,2008.8,1,2,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
161,2008.8,1,2,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
162,2008.8,0,2,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
163,2008.8,0,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
164,2008.8,0,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
165,2008.8,0,2,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
166,2008.8,0,2,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
167,2008.8,0,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
168,2008.8,0,2,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
169,2008.9,1,2,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
170,2008.9,1,2,Few,28,Older,Front,Europe,2005-2009,Summer,Middle
171,2008.9,1,2,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
172,2008.9,0,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
173,2008.9,0,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
174,2008.9,0,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
175,2008.9,0,2,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
176,2008.9,0,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
177,2008.9,0,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
178,2008.9,0,2,Few,28,Older,Front,Europe,2005-2009,Summer,Middle
179,2008.9,0,2,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
180,2008.9,0,2,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
181,2008.9,0,2,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
182,2008.9,0,2,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
183,2008.9,0,2,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
184,2008.9,0,2,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
185,2008.9,0,2,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
186,2008.9,0,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
187,2008.9,0,2,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
188,2008.9,0,2,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
189,2008.1,1,2,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
190,2008.1,1,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
191,2008.1,1,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
192,2008.1,1,2,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
193,2008.1,1,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
194,2008.1,1,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
195,2008.1,1,2,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
196,2008.1,1,2,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
197,2008.1,1,2,Few,28,Older,Front,Europe,2005-2009,Summer,Middle
198,2008.1,1,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
199,2008.1,1,2,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
200,2008.1,1,2,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
201,2008.1,1,2,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
202,2008.1,1,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
203,2008.1,1,2,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
204,2008.1,1,2,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
205,2008.1,0,2,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
206,2008.1,0,2,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
207,2008.1,0,2,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
208,2008.1,0,2,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
209,2008.11,1,3,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
210,2008.11,1,3,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
211,2008.11,1,3,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
212,2008.11,1,3,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
213,2008.11,1,3,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
214,2008.11,1,3,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
215,2008.11,1,3,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
216,2008.11,1,3,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
217,2008.11,1,3,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
218,2008.11,1,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
219,2008.11,1,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
220,2008.11,0,3,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
221,2008.11,0,3,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
222,2008.11,0,3,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
223,2008.11,0,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
224,2008.11,0,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
225,2008.11,0,3,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
226,2008.11,0,3,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
227,2008.11,0,3,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
228,2008.11,0,3,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
229,2008.12,1,3,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
230,2008.12,1,3,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
231,2008.12,1,3,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
232,2008.12,1,3,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
233,2008.12,1,3,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
234,2008.12,1,3,Few,28,Younger,Front,Europe,2005-2009,Summer,Middle
235,2008.12,1,3,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
236,2008.12,1,3,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
237,2008.12,1,3,Few,28,Older,Middle,Europe,2005-2009,Summer,Middle
238,2008.12,1,3,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
239,2008.12,1,3,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
240,2008.12,0,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
241,2008.12,0,3,Few,28,Average,Back,Europe,2005-2009,Summer,Middle
242,2008.12,0,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
243,2008.12,0,3,Few,28,Younger,Middle,Europe,2005-2009,Summer,Middle
244,2008.12,0,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
245,2008.12,0,3,Few,28,Older,Back,Europe,2005-2009,Summer,Middle
246,2008.12,0,3,Few,28,Average,Front,Europe,2005-2009,Summer,Middle
247,2008.12,0,3,Few,28,Younger,Back,Europe,2005-2009,Summer,Middle
248,2008.12,0,3,Few,28,Average,Middle,Europe,2005-2009,Summer,Middle
249,2008.13,1,3,Few,28,Average,Front,Europe,2005-2009,Autumn_Winter,Middle
250,2008.13,1,3,Few,28,Older,Front,Europe,2005-2009,Autumn_Winter,Middle
251,2008.13,1,3,Few,28,Younger,Front,Europe,2005-2009,Autumn_Winter,Middle
252,2008.13,1,3,Few,28,Average,Front,Europe,2005-2009,Autumn_Winter,Middle
253,2008.13,1,3,Few,28,Younger,Middle,Europe,2005-2009,Autumn_Winter,Middle
254,2008.13,1,3,Few,28,Younger,Middle,Europe,2005-2009,Autumn_Winter,Middle
255,2008.13,1,3,Few,28,Average,Middle,Europe,2005-2009,Autumn_Winter,Middle
256,2008.13,1,3,Few,28,Older,Middle,Europe,2005-2009,Autumn_Winter,Middle
257,2008.13,1,3,Few,28,Average,Back,Europe,2005-2009,Autumn_Winter,Middle
258,2008.13,0,3,Few,28,Average,Front,Europe,2005-2009,Autumn_Winter,Middle
259,2008.13,0,3,Few,28,Older,Back,Europe,2005-2009,Autumn_Winter,Middle
260,2008.13,0,3,Few,28,Younger,Back,Europe,2005-2009,Autumn_Winter,Middle
261,2008.13,0,3,Few,28,Younger,Back,Europe,2005-2009,Autumn_Winter,Middle
262,2008.13,0,3,Few,28,Younger,Back,Europe,2005-2009,Autumn_Winter,Middle
263,2008.13,0,3,Few,28,Average,Back,Europe,2005-2009,Autumn_Winter,Middle
264,2008.13,0,3,Few,28,Older,Middle,Europe,2005-2009,Autumn_Winter,Middle
265,2008.13,0,3,Few,28,Older,Back,Europe,2005-2009,Autumn_Winter,Middle
266,2008.13,0,3,Few,28,Average,Front,Europe,2005-2009,Autumn_Winter,Middle
267,2008.13,0,3,Few,28,Older,Back,Europe,2005-2009,Autumn_Winter,Middle
268,2008.13,0,3,Few,28,Younger,Middle,Europe,2005-2009,Autumn_Winter,Middle
269,2008.14,1,3,Few,28,Younger,Front,Europe,2005-2009,Autumn_Winter,Middle
270,2008.14,1,3,Few,28,Average,Front,Europe,2005-2009,Autumn_Winter,Middle
271,2008.14,1,3,Few,28,Younger,Middle,Europe,2005-2009,Autumn_Winter,Middle
272,2008.14,1,3,Few,28,Average,Middle,Europe,2005-2009,Autumn_Winter,Middle
273,2008.14,1,3,Few,28,Older,Middle,Europe,2005-2009,Autumn_Winter,Middle
274,2008.14,1,3,Few,28,Average,Front,Europe,2005-2009,Autumn_Winter,Middle
275,2008.14,1,3,Few,28,Younger,Back,Europe,2005-2009,Autumn_Winter,Middle
276,2008.14,1,3,Few,28,Older,Front,Europe,2005-2009,Autumn_Winter,Middle
277,2008.14,1,3,Few,28,Average,Back,Europe,2005-2009,Autumn_Winter,Middle
278,2008.14,1,3,Few,28,Younger,Back,Europe,2005-2009,Autumn_Winter,Middle
279,2008.14,1,3,Few,28,Average,Middle,Europe,2005-2009,Autumn_Winter,Middle
280,2008.14,1,3,Few,28,Younger,Back,Europe,2005-2009,Autumn_Winter,Middle
281,2008.14,1,3,Few,28,Older,Middle,Europe,2005-2009,Autumn_Winter,Middle
282,2008.14,1,3,Few,28,Younger,Front,Europe,2005-2009,Autumn_Winter,Middle
283,2008.14,1,3,Few,28,Average,Back,Europe,2005-2009,Autumn_Winter,Middle
284,2008.14,0,3,Few,28,Older,Back,Europe,2005-2009,Autumn_Winter,Middle
285,2008.14,0,3,Few,28,Older,Back,Europe,2005-2009,Autumn_Winter,Middle
286,2008.14,0,3,Few,28,Average,Front,Europe,2005-2009,Autumn_Winter,Middle
287,2008.14,0,3,Few,28,Younger,Back,Europe,2005-2009,Autumn_Winter,Middle
288,2008.14,0,3,Few,28,Older,Middle,Europe,2005-2009,Autumn_Winter,Middle
289,2008.15,1,3,Few,28,Average,Back,Asia,2005-2009,Autumn_Winter,Middle
290,2008.15,1,3,Few,28,Younger,Middle,Asia,2005-2009,Autumn_Winter,Middle
291,2008.15,1,3,Few,28,Younger,Front,Asia,2005-2009,Autumn_Winter,Middle
292,2008.15,1,3,Few,28,Average,Middle,Asia,2005-2009,Autumn_Winter,Middle
293,2008.15,1,3,Few,28,Younger,Front,Asia,2005-2009,Autumn_Winter,Middle
294,2008.15,1,3,Few,28,Older,Middle,Asia,2005-2009,Autumn_Winter,Middle
295,2008.15,1,3,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Middle
296,2008.15,1,3,Few,28,Younger,Middle,Asia,2005-2009,Autumn_Winter,Middle
297,2008.15,1,3,Few,28,Average,Middle,Asia,2005-2009,Autumn_Winter,Middle
298,2008.15,1,3,Few,28,Average,Front,Asia,2005-2009,Autumn_Winter,Middle
299,2008.15,1,3,Few,28,Younger,Front,Asia,2005-2009,Autumn_Winter,Middle
300,2008.15,1,3,Few,28,Average,Back,Asia,2005-2009,Autumn_Winter,Middle
301,2008.15,1,3,Few,28,Average,Front,Asia,2005-2009,Autumn_Winter,Middle
302,2008.15,1,3,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Middle
303,2008.15,0,3,Few,28,Average,Front,Asia,2005-2009,Autumn_Winter,Middle
304,2008.15,0,3,Few,28,Older,Middle,Asia,2005-2009,Autumn_Winter,Middle
305,2008.15,0,3,Few,28,Younger,Back,Asia,2005-2009,Autumn_Winter,Middle
306,2008.15,0,3,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Middle
307,2008.15,0,3,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Middle
308,2008.15,0,3,Few,28,Younger,Back,Asia,2005-2009,Autumn_Winter,Middle
309,2008.16,1,4,Few,28,Average,Front,Asia,2005-2009,Autumn_Winter,Early
310,2008.16,1,4,Few,28,Younger,Front,Asia,2005-2009,Autumn_Winter,Early
311,2008.16,1,4,Few,28,Average,Front,Asia,2005-2009,Autumn_Winter,Early
312,2008.16,1,4,Few,28,Younger,Middle,Asia,2005-2009,Autumn_Winter,Early
313,2008.16,1,4,Few,28,Older,Middle,Asia,2005-2009,Autumn_Winter,Early
314,2008.16,1,4,Few,28,Younger,Middle,Asia,2005-2009,Autumn_Winter,Early
315,2008.16,1,4,Few,28,Average,Front,Asia,2005-2009,Autumn_Winter,Early
316,2008.16,1,4,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Early
317,2008.16,1,4,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Early
318,2008.16,1,4,Few,28,Average,Middle,Asia,2005-2009,Autumn_Winter,Early
319,2008.16,1,4,Few,28,Younger,Back,Asia,2005-2009,Autumn_Winter,Early
320,2008.16,1,4,Few,28,Younger,Front,Asia,2005-2009,Autumn_Winter,Early
321,2008.16,0,4,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Early
322,2008.16,0,4,Few,28,Average,Back,Asia,2005-2009,Autumn_Winter,Early
323,2008.16,0,4,Few,28,Younger,Back,Asia,2005-2009,Autumn_Winter,Early
324,2008.16,0,4,Few,28,Older,Back,Asia,2005-2009,Autumn_Winter,Early
325,2008.16,0,4,Few,28,Average,Front,Asia,2005-2009,Autumn_Winter,Early
326,2008.16,0,4,Few,28,Younger,Back,Asia,2005-2009,Autumn_Winter,Early
