ResultIndex,Finished,RaceDecade,RaceYear,RaceMonth,RaceNumber,RaceStartHourGroup,CircuitCountry,CircuitLatitude,CircuitLongitude,ConstructorName,ConstructorNationality,DriverNationality,DriverHomeRace,DriversInRace,DriverAgeAtRace,RaceDrivers_AverageAge,GridPositionGroup,GridPosition_OriginalZero,GridPositionAdjusted
52,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Williams,British,German,0,22,22,27.6,Mid,0,8
53,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Toyota,Japanese,German,0,22,26,27.6,Back,0,13
54,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Renault,French,Spanish,0,22,26,27.6,Mid,0,10
55,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Honda,Japanese,Brazilian,0,22,35,27.6,Back,0,12
56,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Force India,Indian,Italian,0,22,35,27.6,Back,0,18
57,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,McLaren,British,British,0,22,23,27.6,Front,0,3
58,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Williams,British,Japanese,0,22,23,27.6,Back,0,16
59,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Toro Rosso,Italian,French,0,22,29,27.6,Back,0,15
60,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Super Aguri,Japanese,British,0,22,28,27.6,Back,0,21
61,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Super Aguri,Japanese,Japanese,0,22,31,27.6,Back,0,22
62,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Red Bull,Austrian,British,0,22,37,27.6,Back,0,17
63,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Force India,Indian,German,0,22,25,27.6,Back,0,20
64,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Renault,French,Brazilian,0,22,22,27.6,Back,0,14
65,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Honda,Japanese,British,0,22,28,27.6,Mid,0,9
66,0,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Toro Rosso,Italian,German,0,22,20,27.6,Back,0,19
67,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Ferrari,Italian,Finnish,0,22,28,27.7,Front,0,1
68,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Ferrari,Italian,Brazilian,0,22,27,27.7,Front,0,3
69,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,McLaren,British,British,0,22,23,27.7,Mid,0,5
70,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,BMW Sauber,German,Polish,0,22,23,27.7,Mid,0,4
71,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Red Bull,Austrian,Australian,0,22,31,27.7,Mid,0,7
72,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Honda,Japanese,British,0,22,28,27.7,Back,0,13
73,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Williams,British,Japanese,0,22,23,27.7,Back,0,12
74,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Toyota,Japanese,Italian,0,22,33,27.7,Mid,0,8
75,1,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,BMW Sauber,German,German,0,22,30,27.7,Mid,0,9
76,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Force India,Indian,Italian,0,22,35,27.7,Back,0,19
77,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Toyota,Japanese,German,0,22,26,27.7,Back,0,14
78,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Red Bull,Austrian,British,0,22,37,27.7,Back,0,17
79,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Super Aguri,Japanese,Japanese,0,22,31,27.7,Back,0,22
80,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Williams,British,German,0,22,22,27.7,Back,0,15
81,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Renault,French,Spanish,1,22,26,27.7,Front,0,2
82,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Honda,Japanese,Brazilian,0,22,35,27.7,Back,0,11
83,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,McLaren,British,Finnish,0,22,26,27.7,Mid,0,6
84,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Super Aguri,Japanese,British,0,22,29,27.7,Back,0,21
85,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Toro Rosso,Italian,French,0,22,29,27.7,Back,0,16
86,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Renault,French,Brazilian,0,22,22,27.7,Mid,0,10
87,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Force India,Indian,German,0,22,25,27.7,Back,0,20
88,0,2005 - 2014,2008,4,4,12:00 - 15:59,Spain,41.57,2.26111,Toro Rosso,Italian,German,0,22,20,27.7,Back,0,18
89,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Ferrari,Italian,Brazilian,0,20,27,27.5,Front,0,1
90,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,McLaren,British,British,0,20,23,27.5,Front,0,3
91,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Ferrari,Italian,Finnish,0,20,28,27.5,Mid,0,4
92,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,BMW Sauber,German,Polish,0,20,23,27.5,Mid,0,5
93,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,BMW Sauber,German,German,0,20,31,27.5,Mid,0,9
94,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Renault,French,Spanish,0,20,26,27.5,Mid,0,7
95,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Red Bull,Austrian,Australian,0,20,31,27.5,Mid,0,6
96,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Williams,British,German,0,20,22,27.5,Back,0,11
97,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Red Bull,Austrian,British,0,20,37,27.5,Mid,0,10
98,1,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Toyota,Japanese,Italian,0,20,33,27.5,Mid,0,8
99,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Honda,Japanese,British,0,20,28,27.5,Back,0,13
100,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,McLaren,British,Finnish,0,20,26,27.5,Front,0,2
101,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Toyota,Japanese,German,0,20,26,27.5,Back,0,15
102,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Honda,Japanese,Brazilian,0,20,35,27.5,Back,0,12
103,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Renault,French,Brazilian,0,20,22,27.5,Back,0,17
104,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Force India,Indian,German,0,20,25,27.5,Back,0,19
105,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Toro Rosso,Italian,German,0,20,20,27.5,Back,0,14
106,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Toro Rosso,Italian,French,0,20,29,27.5,Back,0,18
107,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Williams,British,Japanese,0,20,23,27.5,Back,0,16
108,0,2005 - 2014,2008,5,5,12:00 - 15:59,Turkey,40.9517,29.405,Force India,Indian,Italian,0,20,35,27.5,Back,0,20
109,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,McLaren,British,British,0,20,23,27.6,Front,0,3
110,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,BMW Sauber,German,Polish,0,20,23,27.6,Mid,0,5
111,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Ferrari,Italian,Brazilian,0,20,27,27.6,Front,0,1
112,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Red Bull,Austrian,Australian,0,20,31,27.6,Mid,0,9
113,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Toro Rosso,Italian,German,0,20,20,27.6,Back,0,19
114,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Honda,Japanese,Brazilian,0,20,36,27.6,Back,0,14
115,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Williams,British,Japanese,0,20,23,27.6,Back,0,13
116,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,McLaren,British,Finnish,0,20,26,27.6,Mid,0,4
117,1,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Ferrari,Italian,Finnish,0,20,28,27.6,Front,0,2
118,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Renault,French,Spanish,0,20,26,27.6,Mid,0,7
119,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Honda,Japanese,British,0,20,28,27.6,Back,0,11
120,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Toyota,Japanese,German,0,20,26,27.6,Mid,0,10
121,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Toyota,Japanese,Italian,0,20,33,27.6,Mid,0,8
122,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,BMW Sauber,German,German,0,20,31,27.6,Back,0,12
123,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Force India,Indian,German,0,20,25,27.6,Back,0,18
124,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Williams,British,German,0,20,22,27.6,Mid,0,6
125,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Renault,French,Brazilian,0,20,22,27.6,Back,0,17
126,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Force India,Indian,Italian,0,20,35,27.6,Back,0,20
127,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Red Bull,Austrian,British,0,20,37,27.6,Back,0,15
128,0,2005 - 2014,2008,5,6,12:00 - 15:59,Monaco,43.7347,7.42056,Toro Rosso,Italian,French,0,20,29,27.6,Back,0,16
129,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,BMW Sauber,German,Polish,0,20,23,27.6,Front,0,2
130,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,BMW Sauber,German,German,0,20,31,27.6,Mid,0,8
131,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Red Bull,Austrian,British,0,20,37,27.6,Back,0,13
132,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Toyota,Japanese,German,0,20,26,27.6,Back,0,11
133,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Ferrari,Italian,Brazilian,0,20,27,27.6,Mid,0,6
134,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Toyota,Japanese,Italian,0,20,33,27.6,Back,0,14
135,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Honda,Japanese,Brazilian,0,20,36,27.6,Mid,0,9
136,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Toro Rosso,Italian,German,0,20,20,27.6,Back,0,19
137,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,McLaren,British,Finnish,0,20,26,27.6,Mid,0,7
138,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Williams,British,German,0,20,22,27.6,Mid,0,5
139,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Honda,Japanese,British,0,20,28,27.6,Back,0,20
140,1,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Red Bull,Austrian,Australian,0,20,31,27.6,Mid,0,10
141,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Toro Rosso,Italian,French,0,20,29,27.6,Back,0,18
142,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Force India,Indian,Italian,0,20,35,27.6,Back,0,17
143,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Williams,British,Japanese,0,20,23,27.6,Back,0,12
144,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Renault,French,Spanish,0,20,26,27.6,Mid,0,4
145,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Renault,French,Brazilian,0,20,22,27.6,Back,0,15
146,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Ferrari,Italian,Finnish,0,20,28,27.6,Front,0,3
147,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,McLaren,British,British,0,20,23,27.6,Front,0,1
148,0,2005 - 2014,2008,6,7,16:00 - 19:59,Canada,45.5,-73.5228,Force India,Indian,German,0,20,25,27.6,Back,0,16
149,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Ferrari,Italian,Brazilian,0,20,27,27.6,Front,0,2
150,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Ferrari,Italian,Finnish,0,20,28,27.6,Front,0,1
151,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Toyota,Japanese,Italian,0,20,33,27.6,Mid,0,4
152,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,McLaren,British,Finnish,0,20,26,27.6,Mid,0,10
153,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,BMW Sauber,German,Polish,0,20,23,27.6,Mid,0,5
154,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Red Bull,Austrian,Australian,0,20,31,27.6,Mid,0,6
155,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Renault,French,Brazilian,0,20,22,27.6,Mid,0,9
156,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Renault,French,Spanish,0,20,26,27.6,Front,0,3
157,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Red Bull,Austrian,British,0,20,37,27.6,Mid,0,7
158,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,McLaren,British,British,0,20,23,27.6,Back,0,13
159,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Toyota,Japanese,German,0,20,26,27.6,Mid,0,8
160,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Toro Rosso,Italian,German,0,20,20,27.6,Back,0,12
161,1,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,BMW Sauber,German,German,0,20,31,27.6,Back,0,11
162,0,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Honda,Japanese,Brazilian,0,20,36,27.6,Back,0,20
163,0,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Williams,British,Japanese,0,20,23,27.6,Back,0,15
164,0,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Williams,British,German,0,20,22,27.6,Back,0,19
165,0,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Toro Rosso,Italian,French,1,20,29,27.6,Back,0,14
166,0,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Force India,Indian,Italian,0,20,35,27.6,Back,0,17
167,0,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Force India,Indian,German,0,20,25,27.6,Back,0,18
168,0,2005 - 2014,2008,6,8,12:00 - 15:59,France,46.8642,3.16361,Honda,Japanese,British,0,20,28,27.6,Back,0,16
169,1,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,McLaren,British,British,1,20,23,27.7,Mid,0,4
170,1,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,BMW Sauber,German,German,0,20,31,27.7,Mid,0,5
171,1,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Honda,Japanese,Brazilian,0,20,36,27.7,Back,0,16
172,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Ferrari,Italian,Finnish,0,20,28,27.7,Front,0,3
173,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,McLaren,British,Finnish,0,20,26,27.7,Front,0,1
174,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Renault,French,Spanish,0,20,26,27.7,Mid,0,6
175,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Toyota,Japanese,Italian,0,20,33,27.7,Back,0,14
176,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Williams,British,Japanese,0,20,23,27.7,Back,0,15
177,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Williams,British,German,0,20,23,27.7,Back,0,20
178,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Red Bull,Austrian,Australian,0,20,31,27.7,Front,0,2
179,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Toro Rosso,Italian,French,0,20,29,27.7,Back,0,13
180,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Toyota,Japanese,German,0,20,26,27.7,Back,0,12
181,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Ferrari,Italian,Brazilian,0,20,27,27.7,Mid,0,9
182,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,BMW Sauber,German,Polish,0,20,23,27.7,Mid,0,10
183,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Honda,Japanese,British,1,20,28,27.7,Back,0,17
184,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Renault,French,Brazilian,0,20,22,27.7,Mid,0,7
185,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Force India,Indian,Italian,0,20,35,27.7,Back,0,19
186,0,2005 - 2014,2008,7,9,12:00 - 15:59,UK,52.0786,-1.01694,Force India,Indian,German,0,20,25,27.7,Back,0,18
